element,terminal,node,status,source_ids,locator
J1,tip,IN,Assumed,ENG39,engineering completion
J1,sleeve,0,Assumed,ENG39,engineering completion
RIN,a,IN,Assumed,T70,input grid-leak network
RIN,b,0,Assumed,T70,input grid-leak network
RSTOP,a,IN,Assumed,CER,input 33k in Cerberus
RSTOP,b,G1,Assumed,CER,input 33k in Cerberus
V1A,plate,P1,Assumed,ENG39;T70,engineering completion
V1A,grid,G1,Assumed,ENG39;T70,engineering completion
V1A,cathode,K1,Assumed,ENG39;T70,engineering completion
V1A,heater_a,H1,Assumed,ENG39;T70,engineering completion
V1A,heater_b,H2,Assumed,ENG39;T70,engineering completion
RP1,a,BINPUT,Assumed,CER,gain stage 1 plate load
RP1,b,P1,Assumed,CER,gain stage 1 plate load
RK1,a,K1,Assumed,CER,Cerberus gain-stage 1 cathode
RK1,b,0,Assumed,CER,Cerberus gain-stage 1 cathode
CK1,a,K1,Assumed,CER,gain stage 1 cathode bypass
CK1,b,0,Assumed,CER,gain stage 1 cathode bypass
CC1,a,P1,Assumed,CER,gain stage 1 output coupling
CC1,b,C1,Assumed,CER,gain stage 1 output coupling
VT_A,plate,P2,Assumed,ENG39;T70,engineering completion
VT_A,grid,G2,Assumed,ENG39;T70,engineering completion
VT_A,cathode,K2,Assumed,ENG39;T70,engineering completion
VT_A,heater_a,H1,Assumed,ENG39;T70,engineering completion
VT_A,heater_b,H2,Assumed,ENG39;T70,engineering completion
RP2,a,BEXTRA,Assumed,CER,gain stage 2 plate load
RP2,b,P2,Assumed,CER,gain stage 2 plate load
RK2,a,K2,Assumed,CER,Cerberus gain-stage 2 cathode
RK2,b,0,Assumed,CER,Cerberus gain-stage 2 cathode
CC2,a,P2,Assumed,CER,gain stage 2 output coupling
CC2,b,C2,Assumed,CER,gain stage 2 output coupling
VT_B,plate,P3,Assumed,ENG39;T70,engineering completion
VT_B,grid,G3,Assumed,ENG39;T70,engineering completion
VT_B,cathode,K3,Assumed,ENG39;T70,engineering completion
VT_B,heater_a,H1,Assumed,ENG39;T70,engineering completion
VT_B,heater_b,H2,Assumed,ENG39;T70,engineering completion
RP3,a,BEXTRA,Assumed,CER,gain stage 3 plate load
RP3,b,P3,Assumed,CER,gain stage 3 plate load
RK3,a,K3,Assumed,CER,Cerberus gain-stage 3 cathode
RK3,b,0,Assumed,CER,Cerberus gain-stage 3 cathode
CC3,a,P3,Assumed,CER,gain stage 3 output coupling
CC3,b,C3,Assumed,CER,gain stage 3 output coupling
V2A,plate,P4,Assumed,ENG39;T70,engineering completion
V2A,grid,G4,Assumed,ENG39;T70,engineering completion
V2A,cathode,K4,Assumed,ENG39;T70,engineering completion
V2A,heater_a,H1,Assumed,ENG39;T70,engineering completion
V2A,heater_b,H2,Assumed,ENG39;T70,engineering completion
RP4,a,BDRIVER,Assumed,CER,gain stage 4 plate load
RP4,b,P4,Assumed,CER,gain stage 4 plate load
RK4,a,K4,Assumed,CER,Cerberus gain-stage 4 cathode
RK4,b,0,Assumed,CER,Cerberus gain-stage 4 cathode
R12,a,C1,Assumed,CER,"Cerberus R5, 470k to gain pot"
R12,b,A12,Assumed,CER,"Cerberus R5, 470k to gain pot"
CB12,a,C1,Assumed,CER,interstage treble bypass
CB12,b,A12,Assumed,CER,interstage treble bypass
GAIN,top,A12,Assumed,ENG39,engineering completion
GAIN,wiper,G2,Assumed,ENG39,engineering completion
GAIN,bottom,0,Assumed,ENG39,engineering completion
CGAIN,a,A12,Assumed,CER,gain pot top-to-wiper bypass
CGAIN,b,G2,Assumed,CER,gain pot top-to-wiper bypass
R23,a,C2,Assumed,CER,post-second-stage series arm
R23,b,G3,Assumed,CER,post-second-stage series arm
RG3,a,G3,Assumed,CER,post-second-stage shunt arm
RG3,b,0,Assumed,CER,post-second-stage shunt arm
CB23,a,C2,Assumed,CER,post-second-stage bypass
CB23,b,G3,Assumed,CER,post-second-stage bypass
R34,a,C3,Assumed,CER,post-third-stage series arm
R34,b,G4,Assumed,CER,post-third-stage series arm
RG4,a,G4,Assumed,CER,post-third-stage shunt arm
RG4,b,0,Assumed,CER,post-third-stage shunt arm
CB34,a,C3,Assumed,CER,post-third-stage bypass
CB34,b,G4,Assumed,CER,post-third-stage bypass
V2B,plate,BDRIVER,Assumed,ENG39;T70,engineering completion
V2B,grid,P4,Assumed,ENG39;T70,engineering completion
V2B,cathode,CF,Assumed,ENG39;T70,engineering completion
V2B,heater_a,H1,Assumed,ENG39;T70,engineering completion
V2B,heater_b,H2,Assumed,ENG39;T70,engineering completion
RCF,a,CF,Assumed,T70,tone driver cathode follower
RCF,b,0,Assumed,T70,tone driver cathode follower
RSLOPE,a,CF,Assumed,T70,tone slope resistor
RSLOPE,b,TS,Assumed,T70,tone slope resistor
CTREB,a,CF,Assumed,T70,tone treble capacitor
CTREB,b,TT,Assumed,T70,tone treble capacitor
CBASS,a,TS,Assumed,T70,tone bass capacitor
CBASS,b,TB,Assumed,T70,tone bass capacitor
CMID,a,TS,Assumed,T70,tone middle capacitor
CMID,b,TM,Assumed,T70,tone middle capacitor
BASS,top,TB,Assumed,T70,bass pot; top/wiper tied in candidate
BASS,wiper,TB,Assumed,T70,bass pot; top/wiper tied in candidate
BASS,bottom,TM,Assumed,T70,bass pot; top/wiper tied in candidate
MID,top,TM,Assumed,T70,middle pot; top/wiper tied
MID,wiper,TM,Assumed,T70,middle pot; top/wiper tied
MID,bottom,0,Assumed,T70,middle pot; top/wiper tied
TREBLE,top,TT,Assumed,T70,treble potentiometer
TREBLE,wiper,TONE,Assumed,T70,treble potentiometer
TREBLE,bottom,TB,Assumed,T70,treble potentiometer
MASTER,top,TONE,Assumed,CER,pre-phase-inverter master
MASTER,wiper,MASTEROUT,Assumed,CER,pre-phase-inverter master
MASTER,bottom,0,Assumed,CER,pre-phase-inverter master
CPI,a,MASTEROUT,Assumed,T70,phase-inverter input capacitor
CPI,b,PIG1,Assumed,T70,phase-inverter input capacitor
V3A,plate,PIPA,Assumed,ENG39;T70,engineering completion
V3A,grid,PIG1,Assumed,ENG39;T70,engineering completion
V3A,cathode,PIK,Assumed,ENG39;T70,engineering completion
V3A,heater_a,H1,Assumed,ENG39;T70,engineering completion
V3A,heater_b,H2,Assumed,ENG39;T70,engineering completion
V3B,plate,PIPB,Assumed,ENG39;T70,engineering completion
V3B,grid,PIG2,Assumed,ENG39;T70,engineering completion
V3B,cathode,PIK,Assumed,ENG39;T70,engineering completion
V3B,heater_a,H1,Assumed,ENG39;T70,engineering completion
V3B,heater_b,H2,Assumed,ENG39;T70,engineering completion
RPIA,a,BPI,Sourced,T70,T70 phase-inverter 82k plate load
RPIA,b,PIPA,Sourced,T70,T70 phase-inverter 82k plate load
RPIB,a,BPI,Sourced,T70,T70 phase-inverter 100k plate load
RPIB,b,PIPB,Sourced,T70,T70 phase-inverter 100k plate load
RPIK,a,PIK,Sourced,T70,T70 phase-inverter shared 470-ohm cathode
RPIK,b,PIREF,Sourced,T70,T70 phase-inverter shared 470-ohm cathode
RPIG1,a,PIG1,Sourced,T70,T70 phase-inverter grid leak A
RPIG1,b,PIREF,Sourced,T70,T70 phase-inverter grid leak A
RPIG2,a,PIG2,Sourced,T70,T70 phase-inverter grid leak B
RPIG2,b,PIREF,Sourced,T70,T70 phase-inverter grid leak B
RPITAIL,a,PIREF,Sourced,T70,T70 phase-inverter tail resistor
RPITAIL,b,NFB,Sourced,T70,T70 phase-inverter tail resistor
CPIG2,a,PIG2,Sourced,T70,T70 phase-inverter reference-grid bypass
CPIG2,b,0,Sourced,T70,T70 phase-inverter reference-grid bypass
CPISNUB,a,PIPA,Sourced,T70,T70 phase-inverter plate-to-plate capacitor
CPISNUB,b,PIPB,Sourced,T70,T70 phase-inverter plate-to-plate capacitor
CPA,a,PIPA,Sourced,T70,T70 phase-inverter output coupling A
CPA,b,DRIVEA,Sourced,T70,T70 phase-inverter output coupling A
CPB,a,PIPB,Sourced,T70,T70 phase-inverter output coupling B
CPB,b,DRIVEB,Sourced,T70,T70 phase-inverter output coupling B
RBIASA,a,DRIVEA,Sourced,T70,T70 output-valve bias grid-leak A
RBIASA,b,BIAS,Sourced,T70,T70 output-valve bias grid-leak A
RBIASB,a,DRIVEB,Sourced,T70,T70 output-valve bias grid-leak B
RBIASB,b,BIAS,Sourced,T70,T70 output-valve bias grid-leak B
RNFB,a,SP16,Assumed,T70,feedback resistor; selected source alternative/tap
RNFB,b,NFB,Assumed,T70,feedback resistor; selected source alternative/tap
PRESENCE,top,NFB,Sourced,T70,5k presence pot
PRESENCE,wiper,PRESC,Sourced,T70,5k presence pot
PRESENCE,bottom,0,Sourced,T70,5k presence pot
CPRES,a,PRESC,Sourced,T70,T70 presence capacitor
CPRES,b,0,Sourced,T70,T70 presence capacitor
ROG0,a,DRIVEA,Sourced,T70,T70 output grid-stopper network
ROG0,b,OG0,Sourced,T70,T70 output grid-stopper network
ROS0,a,BSCREEN,Sourced,T70,T70 output-valve screen resistor
ROS0,b,OS0,Sourced,T70,T70 output-valve screen resistor
EL1,plate,OTA,Sourced,T70,four output valves
EL1,grid,OG0,Sourced,T70,four output valves
EL1,screen,OS0,Sourced,T70,four output valves
EL1,cathode,0,Sourced,T70,four output valves
EL1,suppressor,0,Sourced,T70,four output valves
EL1,heater_a,H1,Sourced,T70,four output valves
EL1,heater_b,H2,Sourced,T70,four output valves
ROG1,a,DRIVEA,Sourced,T70,T70 output grid-stopper network
ROG1,b,OG1,Sourced,T70,T70 output grid-stopper network
ROS1,a,BSCREEN,Sourced,T70,T70 output-valve screen resistor
ROS1,b,OS1,Sourced,T70,T70 output-valve screen resistor
EL2,plate,OTA,Sourced,T70,four output valves
EL2,grid,OG1,Sourced,T70,four output valves
EL2,screen,OS1,Sourced,T70,four output valves
EL2,cathode,0,Sourced,T70,four output valves
EL2,suppressor,0,Sourced,T70,four output valves
EL2,heater_a,H1,Sourced,T70,four output valves
EL2,heater_b,H2,Sourced,T70,four output valves
ROG2,a,DRIVEB,Sourced,T70,T70 output grid-stopper network
ROG2,b,OG2,Sourced,T70,T70 output grid-stopper network
ROS2,a,BSCREEN,Sourced,T70,T70 output-valve screen resistor
